id_station,name,location,id_mrtline,mrtline,station_co,dcode,dname,latitude,longitude
S10,สถานีตลาดพลู,ถนนริมทางรถไฟและถนนเทอดไท,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1015,เขตธนบุรี,สถานีเชื่อมต่อรถโดยสารด่วนพิเศษ สายสาทร–ราชพฤกษ์ สถานีราชพฤกษ์,13.71403433,100.4763857
S11,สถานีวุฒากาศ,บริเวณสี่แยกราชพฤกษ์-วุฒากาศ,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1015,เขตธนบุรี,,13.71222176,100.4726205
S12,สถานีบางหว้า,บริเวณด้านข้างสะพานยกระดับข้ามทางแยกต่างระดับเพชรเกษม,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1022,เขตภาษีเจริญ,สถานีเชื่อมต่อเส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน สถานี BL34,13.72078877,100.4577966
N9,สถานีห้าแยกลาดพร้าว,บริเวณใกล้กับจุดบรรจบถนนลาดพร้าว และถนนหอวัง ด้านหน้าศูนย์การค้าเซ็นทรัล ลาดพร้าว และโรงเรียนหอวัง,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,สถานีเชื่อมต่อเส้นทางรถไฟฟ้ามหานคร สายสีน้ำเงิน สถานี BL14,13.81668984,100.5620546
N10,สถานีพหลโยธิน 24,บริเวณจุดตัดระหว่างถนนรัชดาภิเษกและถนนพหลโยธิน (แยกรัชโยธิน),2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,,13.82413711,100.566461
N11,สถานีรัชโยธิน,บริเวณเชิงสะพานข้ามแยกรัชโยธิน ใกล้กับโรงภาพยนตร์เมเจอร์ ซีนีเพล็กซ์ รัชโยธิน,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,,13.82975669,100.5697176
N13,สถานีมหาวิทยาลัยเกษตรศาสตร์,บริเวณด้านหน้ามหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตบางเขน,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,,13.84225543,100.5771187
N12,สถานีเสนานิคม,บริเวณด้านหน้ากรมพัฒนาที่ดิน,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,,13.83639349,100.5736196
N16,สถานีกรมทหารราบที่ 11,บริเวณด้านหน้ากรมทหารราบที่ 11 มหาดเล็กราชวัลลภรักษาพระองค์,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.86764879,100.5920557
N15,สถานีบางบัว,บริเวณด้านหน้า มหาวิทยาลัยศรีปทุม และโรงเรียนบางบัว (เพ่งตั้งตรงจิตวิทยาคาร) ใกล้กับแยกบางบัว,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.85601494,100.5851953
N14,สถานีกรมป่าไม้,บริเวณด้านหน้ากรมป่าไม้ และโรงเรียนสารวิทยา,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1030,เขตจตุจักร,,13.85025175,100.5818259
G2,สถานีเจริญนคร,เจริญนคร,3,เส้นทางรถไฟฟ้า สายสีทอง,1018,เขตคลองสาน,,13.72646504,100.509057
G3,สถานีคลองสาน,สมเด็จเจ้าพระยา,3,เส้นทางรถไฟฟ้า สายสีทอง,1018,เขตคลองสาน,,13.73038781,100.5076304
S4,สถานีเซนต์หลุยส์,บริเวณปากซอยสาทร 11 (ซอยเซนต์หลุยส์ 3) ด้านหน้าอาคารเอไอเอ ทาวเวอร์,1,เส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม),1028,เขตสาทร,,13.72081548,100.5266994
N24,สถานีคูคต,บริเวณสถานีตำรวจภูธรคูคต ในพื้นที่ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.93238496,100.6465697
N23,สถานีแยก คปอ.,บริเวณด้านหน้ากรมควบคุมการปฏิบัติการทางอากาศ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1036,เขตดอนเมือง,,13.92504891,100.6258727
N22,สถานีพิพิธภัณฑ์กองทัพอากาศ,ด้านหน้าฐานทัพอากาศดอนเมือง ในพื้นที่แขวงสนามบิน เขตดอนเมือง และแขวงคลองถนน เขตสายไหม,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1036,เขตดอนเมือง,,13.9178731,100.6216492
N21,สถานีโรงพยาบาลภูมิพลอดุลยเดช,บริเวณด้านหน้ากรมแพทย์ทหารอากาศ โรงพยาบาลภูมิพลอดุลยเดช และฐานทัพอากาศดอนเมือง,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1036,เขตดอนเมือง,,13.91058043,100.6173142
N20,สถานีสะพานใหม่,บริเวณด้านหน้าตลาดยิ่งเจริญพลาซ่า,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.8964893,100.609037
N19,สถานีสายหยุด,บริเวณด้านหน้าซอยพหลโยธิน 69,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.88841275,100.6042717
N18,สถานีพหลโยธิน 59,บริเวณด้านหน้าซอยพหลโยธิน 59 และซอยหมู่บ้านราชตฤณมัย กับหมู่บ้านฝนทองนิเวศน์,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.88251503,100.6007986
N17,สถานีวัดพระศรีมหาธาตุ,บริเวณกลางวงเวียนอนุสาวรีย์พิทักษ์รัฐธรรมนูญ จุดตัดระหว่างถนนพหลโยธิน ถนนแจ้งวัฒนะ และถนนรามอินทรา,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน),1005,เขตบางเขน,,13.87525635,100.596715
E15,สถานีสำโรง,ถนนสุขุมวิท ระหว่างสะพานข้ามคลองสำโรงกับทางแยกเทพารักษ์ ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,สถานีเชื่อมต่อรถไฟฟ้ามหานคร สายสีเหลือง สถานี YL23,13.64656537,100.5958207
E16,สถานีปู่เจ้า,ถนนสุขุมวิท บริเวณปากซอยสุขุมวิท 115 ใกล้กับห้างสรรพสินค้าบิ๊กซี ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.63738772,100.5920527
E17,สถานีช้างเอราวัณ,ถนนสุขุมวิท บริเวณซอยสุขุมวิท 7 ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.62147272,100.590181
E18,สถานีโรงเรียนนายเรือ,ถนนสุขุมวิท บริเวณด้านหน้าโรงเรียนนายเรือ ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.60848025,100.5949182
E19,สถานีปากน้ำ,ถนนสุขุมวิท บริเวณหน้าวิทยาลัยสารพัดช่างสมุทรปราการ ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.60216596,100.597103
E20,สถานีศรีนครินทร์,ถนนสุขุมวิท บริเวณสะพานข้ามคลองบางปิ้งและทางแยกการไฟฟ้าสมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.59196551,100.6090107
E21,สถานีแพรกษา,ถนนสุขุมวิท บริเวณด้านหน้าโรงเรียนสมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.58421744,100.6078495
E22,สถานีสายลวด,ถนนสุขุมวิท บริเวณปากซอยเทศบาลบางปู 43 ใกล้ทางแยกสายลวด ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.57779717,100.6054316
E23,สถานีเคหะฯ,ถนนสุขุมวิท บริเวณปากซอยเทศบาลบางปู 50 ในพื้นที่จ.สมุทรปราการ,2,เส้นทางรถไฟฟ้าบีทีเอส สายสุขุมวิท (สีเขียวอ่อน), ,,,13.56773098,100.6077108
G1,สถานีกรุงธนบุรี,แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600,3,เส้นทางรถไฟฟ้า สายสีทอง,1018,เขตคลองสาน,สถานีเชื่อมต่อเส้นทางรถไฟฟ้าบีทีเอส สายสีลม (สีเขียวเข้ม) สถานี S7,13.72106499,100.5037059
